srno,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,,
28,0.0838,2020,0.0829,['Najma Wallin'],0.175,133500,0.00759,0,6RuFOroO9VO0aMGEzirLHk,0.925,7,0.113,-35.072,1,Med slutna ̦gon,20,2/21/2020,0.0454,70.872,,
29,0.608,2020,0.0732,"['Anuel AA', 'Daddy Yankee', 'KAROL G', 'Ozuna', 'J Balvin']",0.786,301714,0.808,0,0KkIkfsLEJbrcIhYsCL7L5,0.000289,7,0.0822,-3.702,1,China,40,5/29/2020,0.0881,105.029,,
30,0.734,2020,0.0699,['Ashnikko'],0.717,150654,0.753,0,0OStKKAuXlxA0fMH54Qs6E,0,7,0.101,-6.02,1,Halloweenie III: Seven Days,40,10/23/2020,0.0605,137.936,,40
31,0.637,2020,0.0627,['MAMAMOO'],0.634,211280,0.858,0,4BZXVFYCb76Q0Klojq4piV,8.56E-06,4,0.258,-2.226,0,AYA,40,11/3/2020,0.0809,91.688,,40
32,0.195,2020,0.0529,['Eminem'],0.671,337147,0.623,1,5SiZJoLXp3WOl3J4C8IK0d,7.55E-06,2,0.643,-7.161,1,Darkness,40,1/17/2020,0.308,75.055,,40
33,0.642,2020,0.0406,"['KEVVO', 'J Balvin']",0.856,189507,0.721,1,7HmnJHfs0BkFzX4x8j0hkl,0.00471,7,0.182,-4.928,1,Billetes Azules (with J Balvin),40,10/16/2020,0.108,94.991,,40
34,0.329,2020,0.0397,"['Jessie Reyez', '6LACK']",0.712,225213,0.606,1,2shEeQzAAL3nnOXfB5pJXx,1.19E-06,7,0.109,-4.262,1,IMPORTED (with 6LACK),40,3/27/2020,0.0518,111.089,,40
35,0.256,2020,0.0358,['Florida Georgia Line'],0.547,186667,0.511,0,24uZaMwLQ0G8ZQfTt7f64B,0,8,0.15,-5.264,1,Second Guessing - From Songland,40,5/22/2020,0.0275,137.87,,40
36,0.429,2020,0.0259,['Lil Durk'],0.908,178286,0.331,1,3ELLCuwPrhznALIu2UAwVB,0,10,0.0718,-12.706,1,When We Shoot,40,6/26/2020,0.722,139.995,,40
37,0.305,2020,0.0242,"['Zara Larsson', 'Sabrina Carpenter']",0.702,179653,0.744,0,5WokFKscrfGEGGLPTu3jgO,0,6,0.0915,-4.063,0,WOW (feat. Sabrina Carpenter) - Remix,40,9/25/2020,0.0861,77.486,,40
38,0.758,2020,0.00998,['Lil Peep'],0.646,126827,0.647,1,2JfV8E7wsD7eVY5wr69teC,0,1,0.0417,-4.476,1,worlds away,40,9/25/2020,0.0837,155.111,,40
39,0.207,2020,0.00952,['Lil Uzi Vert'],0.71,185439,0.586,1,7vTspUAmMKFkUpKL9HLZNL,0,2,0.193,-5.331,1,Trap This Way (This Way),40,3/13/2020,0.381,175.987,,40
40,0.79,2020,0.00861,['Dua Lipa'],0.47,209583,0.785,0,2nMOodYNHBAQ3Kc1QNimZU,1.55E-06,5,0.0931,-4.015,0,Cool,40,3/27/2020,0.0664,89.717,,40
41,0.58,2020,0.00248,"['Pop Smoke', 'Rowdy Rebel']",0.5,202443,0.767,1,71d7LaAgPcNcUopu3OzmP7,9.79E-05,1,0.385,-4.105,1,Make It Rain (feat. Rowdy Rebel),40,7/3/2020,0.403,159.477,,40
42,0.656,2020,0.000206,['KYLE'],0.84,143476,0.304,1,1AYNmdKudx7JArl2uDy1nv,1.76E-05,0,0.115,-6.52,1,What It Is,40,7/17/2020,0.101,76.474,,40
43,0.691,2020,5.79E-05,"['Jackson Wang', 'Galantis']",0.686,145792,0.867,0,5Rse8If81NbzXL1ARjHOTB,4.18E-05,6,0.396,-4.396,0,Pretty Please,40,9/4/2020,0.0449,126.068,,40
