,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,srno
27,0.23399999999999999,1980,0.000852,['Motörhead'],0.32899999999999996,166920,0.9740000000000001,0,6EPRKhUOdiFSQwGBRBbvsZ,0.000118,3,0.0904,-8.77,0,Ace of Spades,75,1980-11-08,0.135,140.862,27
28,0.48,1980,0.000239,['AC/DC'],0.457,317427,0.904,0,0C80GCp0mMuBzLf3EAXqxv,0.0879,2,0.396,-5.303,1,Shoot to Thrill,73,1980-07-25,0.0747,141.03799999999995,28
29,0.7559999999999999,1980,0.11199999999999999,['Queen'],0.9329999999999999,214653,0.528,0,57JVGBtBLCfHw2muk5416J,0.32899999999999996,5,0.163,-6.472,0,Another One Bites The Dust - Remastered 2011,73,1980-06-27,0.162,109.975,29
30,0.5710000000000001,1980,0.00251,['Journey'],0.529,201693,0.932,0,71SvEDmsOwIWw1IozsZoMA,0.00109,7,0.136,-7.501,1,Any Way You Want It,72,1980,0.0488,138.158,30
31,0.41,1980,0.0519,['REO Speedwagon'],0.306,200293,0.722,0,4rcHWl68ai6KvpXlc8vbnE,0.0,0,0.11699999999999999,-5.962999999999999,1,Keep on Loving You,72,1980,0.034,174.732,31
32,0.871,1980,0.18100000000000002,['Talking Heads'],0.644,259907,0.919,0,38Ngied9rBORlAbLYNCl4k,0.134,2,0.622,-6.289,1,Once in a Lifetime - 2005 Remaster,71,1980-10-08,0.0561,117.459,32
33,0.6940000000000001,1980,0.608,['Bob Marley & The Wailers'],0.6709999999999999,233560,0.256,0,26PwuMotZqcczKLHi4Htz3,0.0,7,0.0737,-10.743,1,Redemption Song,70,1980,0.0387,115.87100000000001,33
34,0.491,1980,0.024,['Judas Priest'],0.36200000000000004,153840,0.961,0,2RaA6kIcvomt77qlIgGhCT,9.35e-06,2,0.159,-5.664,1,Breaking the Law,70,1980,0.0857,164.019,34
35,0.746,1980,0.37799999999999995,['John Lennon'],0.588,212933,0.6559999999999999,0,0GGxVTb0UwDwdaKNjBdCn3,0.00227,3,0.042,-6.3729999999999976,1,Woman - Remastered 2010,70,1980-11-17,0.0224,79.70100000000002,35
36,0.593,1980,0.445,"['Grover Washington, Jr.']",0.743,443773,0.43,0,5fdNHVZHbWB1AaXk4RBGVD,0.363,10,0.0455,-14.575,0,Just the Two of Us,70,1980,0.0906,95.406,36
37,0.9440000000000001,1980,0.11699999999999999,['Pat Benatar'],0.741,171267,0.58,0,0vOkmmJEtjuFZDzrQSFzEE,3.3100000000000005e-05,4,0.212,-9.05,1,Hit Me With Your Best Shot,70,1980-08-05,0.0304,127.402,37
38,0.669,1980,0.17600000000000002,['Alabama'],0.486,190800,0.633,0,2uX5f3x2cObov0iDAPln4o,0.0,9,0.312,-8.414,1,Song of the South,69,1980,0.0365,162.158,38
39,0.331,1980,0.248,['Barbra Streisand'],0.469,231840,0.278,0,1pTGc8pwyo6xtgXBKCBcFn,0.000126,3,0.133,-16.311,0,Woman in Love,69,1980-09-23,0.027999999999999997,169.735,39
40,0.514,1981,0.127,['Journey'],0.5,250987,0.748,0,4bHsxqR3GMrXTxEPLuK5ue,0.0,4,0.447,-9.072000000000001,1,Don't Stop Believin',81,1981,0.0363,118.852,40
41,0.298,1981,0.551,['Phil Collins'],0.446,336453,0.239,0,18AXbzPzBS8Y3AkgSxzJPb,4.1e-06,0,0.0697,-13.945,1,In The Air Tonight - 2015 Remastered,77,1981-01-01,0.0316,189.507,41
